,Address,Price,Bed,Bath,SQFT,Description,latitude,longitude,Listing URL,Picture,Street,City,State,Zip Code
31,"5729 Montrelia Dr, Austin, TX 78724","$4,450/mo",3 beds,2 baths,"1,657 sq ft","Fully furnished and equipped home located in the Austin Colony neighborhood with all utilities included, this 2bed/2bath home is exactly what you have been looking for! The closest neighborhood to new",30.2590222,-97.5851852,https://www.redfin.com/TX/Austin/5729-Montrelia-Dr-78724/home/147333563,https://ssl.cdn-redfin.com/photo/rent/b3f67543-4c98-443d-b109-0f6d430939e1/islphoto/genIsl.1_1.jpg,5729 Montrelia Dr, Austin,TX,78724
32,"14312 Cottingham Dr, Austin, TX 78725","$2,150/mo",2 beds,2 baths,929 sq ft,"Welcome to this beautifully remodeled, charming 4-bedroom, 1-bathroom home located at 1101 W Oltorf St in vibrant South Austin.  With a comfortable 1250 square feet of living space, this residence off",30.2332066,-97.5912656,https://www.redfin.com/TX/Austin/14312-Cottingham-Dr-78725/home/31056200,https://ssl.cdn-redfin.com/photo/rent/b3f67543-4c98-443d-b109-0f6d430939e1/islphoto/genIsl.3_1.jpg,14312 Cottingham Dr, Austin,TX,78725
33,"1101 W Oltorf St, Austin, TX 78704","$2,695/mo",4 beds,1 bath,"1,250 sq ft",Three Bedroom 2 1/2 bath Austin Home in Pioneer Crossing. Close to Samsung and Tech Ridge. Backs up to green belt in secluded cul-de-sac. Hard surface flooring up and downstairs. All bedrooms have wal,30.2441115,-97.7654223,https://www.redfin.com/TX/Austin/1101-W-Oltorf-St-78704/home/31683008,https://ssl.cdn-redfin.com/photo/rent/56e46f7e-572c-43a3-aecd-719145ff7389/islphoto/genIsl.0_1.jpg,1101 W Oltorf St, Austin,TX,78704
34,"3608 Savage Springs Dr, Austin, TX 78754","$1,995/mo",3 beds,2.5 baths,"1,600 sq ft",Beautiful Remodeled / Fully Furnished Austin Home Minutes from the Downtown Area<BR><BR>Fully Furnished (optional) 3 bedroom + office / 2 Full Bathrooms - 1 powder room. Huge Backyard on almost a 1/4 ,30.3593813,-97.6388375,https://www.redfin.com/TX/Austin/3608-Savage-Springs-Dr-78754/home/31017772,https://ssl.cdn-redfin.com/photo/rent/56e46f7e-572c-43a3-aecd-719145ff7389/islphoto/genIsl.1_1.jpg,3608 Savage Springs Dr, Austin,TX,78754
35,"5200 Buffalo Pass, Austin, TX 78745","$3,985/mo",4 beds,2.5 baths,"1,748 sq ft","Welcome to your stunning 3 bedroom, 3 FULL bathroom home with a backyard, cowboy pool oasis! In addition to the spacious dining room, living room, and chefs kitchen, the main level features a large pr",30.2226157,-97.7992403,https://www.redfin.com/TX/Austin/5200-Buffalo-Pass-78745/home/31959262,https://ssl.cdn-redfin.com/photo/rent/56e46f7e-572c-43a3-aecd-719145ff7389/islphoto/genIsl.21_1.jpg,5200 Buffalo Pass, Austin,TX,78745
36,"1816 Adina St, Austin, TX 78721","$3,750/mo",3 beds,3 baths,"1,761 sq ft","Come home to peace and quiet. This quaint bungalow on a heavily wooded hillside is the perfect retreat. It has an open living-dining-kitchen area, updated bathroom, and tile floors throughout .Enjoy c",30.2835313,-97.6795821,https://www.redfin.com/TX/Austin/1816-Adina-St-78721/home/31394780,https://ssl.cdn-redfin.com/photo/rent/0b058ee6-f385-4415-a9b8-0e7bf62e5950/islphoto/genIsl.0_1.jpg,1816 Adina St, Austin,TX,78721
37,"1916 Casa Grande Dr, Austin, TX 78733","$1,875/mo",2 beds,1 bath,900 sq ft,"This beautiful, spacious, 3 bedroom, 2.5 bathroom home will be available for rent (1-year lease minimum) on August 15th- just in time for the 2024-2025 school year.  (First month's rent will be prorat",30.343626,-97.8657723,https://www.redfin.com/TX/Austin/1916-Casa-Grande-Dr-78733/home/31261364,https://ssl.cdn-redfin.com/photo/rent/0b058ee6-f385-4415-a9b8-0e7bf62e5950/islphoto/genIsl.1_1.jpg,1916 Casa Grande Dr, Austin,TX,78733
38,"12828 Ranft Cv, Del Valle, TX 78617","$2,200/mo",3 beds,2.5 baths,"2,351 sq ft","This glamorous 4 bedroom plus office, 4 bathroom home, 2 1/2 car garage with a greenbelt overlook in Falconhead West is loaded with upgrades, custom details and affords ample space to relax and entert",30.1755807,-97.6175226,https://www.redfin.com/TX/Del-Valle/12828-Ranft-Cv-78617/home/32010918,https://ssl.cdn-redfin.com/photo/rent/0b058ee6-f385-4415-a9b8-0e7bf62e5950/islphoto/genIsl.27_1.jpg,12828 Ranft Cv, Del Valle,TX,78617
39,"4928 Julian Alps, Austin, TX 78738","$4,000/mo",4 beds,4 baths,"3,402 sq ft","Remodeled three bedroom, two bath home on a spacious corner lot in Northeast Austin! Inside you'll find an open floor plan with vaulted ceilings and wood beams. The kitchen is adorned with granite cou",30.3217978,-97.9962236,https://www.redfin.com/TX/Austin/4928-Julian-Alps-78738/home/40130133,https://ssl.cdn-redfin.com/photo/rent/40915f11-e068-41f7-9721-e91cd9450b9b/islphoto/genIsl.0_1.jpg,4928 Julian Alps, Austin,TX,78738
40,"9400 Mountain Quail Rd, Austin, TX 78758","$2,395/mo",3 beds,2 baths,"1,440 sq ft","2601 E 18th Street is a 1920-built residence nestled in the vibrant heart of East Austin. The 2-bedroom, 1-bath home is perfectly located for access to the bus stop and the MLK metro rail station and ",30.3695873,-97.7107653,https://www.redfin.com/TX/Austin/9400-Mountain-Quail-Rd-78758/home/31513023,https://ssl.cdn-redfin.com/photo/rent/40915f11-e068-41f7-9721-e91cd9450b9b/islphoto/genIsl.1_1.jpg,9400 Mountain Quail Rd, Austin,TX,78758
